id,us_votes,non_us_votes,us_rating,non_us_rating,title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt4692234,"
145
","
930
",6.7,7.1,O Desolado,2015,Drama,131,"Portugal, France, Germany, Switzerland","Portuguese, English, French, German, Mandarin",Miguel Gomes,"Telmo Churro, Miguel Gomes",O Som e a Fúria,"Crista Alfaiate, Chico Chapas, Luísa Cruz, Pedro Caldas, Gonçalo Waddington, Margarida Carpinteiro, Carla Maciel, Gracinda Nave, Carloto Cotta, Mariana Martins, Pedro Inês, José Manuel Mendes, Américo Silva, Manuel Mozos, Jing Jing Guo",7.1,1350,NA,$ 6398,$ 15245,81,5,53
tt4692242,"
125
","
749
",6.4,6.4,O Encantado,2015,Drama,125,"Portugal, France, Germany, Switzerland","Portuguese, English, French, German, Mandarin",Miguel Gomes,"Telmo Churro, Miguel Gomes",O Som e a Fúria,"Crista Alfaiate, Américo Silva, Amar Bounachada, Lionel Franc, Carloto Cotta, Elvis Barrientos, Hervés Diasnas, Chico Chapas, Gonçalo Waddington, Quitério, Jing Jing Guo, Bernardo Alves, Louison Tresallet",6.4,1078,NA,$ 4502,$ 6681,80,3,50
tt4692368,"
133
","
830
",7.1,6.9,Jawani Phir Nahi Ani,2015,"Adventure, Comedy, Musical",156,Pakistan,Urdu,Nadeem Beyg,Vasay Chaudhry,Six Sigma Plus,"Aziz Akhmedov, Mehwish Hayat, Mykola Udianskyi, Kuznecovsky Yuri, Humayun Saeed, Vasay Chaudhry, Ahmad Ali Butt, Hamza Ali Abbasi, Sarwat Gilani, Ayesha Khan, Uzma Khan, Ismail Tara, Sohai Ali Abro, Javed Sheikh, Bushra Ansari",7.5,2920,NA,NA,NA,NA,44,8
tt4693464,"
3,727
","
1,751
",8.2,4.6,Sicilian Vampire,2015,"Crime, Drama, Horror",124,Canada,English,Frank D'Angelo,Frank D'Angelo,In Your Ear Productions,"Vittorio Altomare, Armand Assante, Daniel Baldwin, James Caan, Matthew Chalmers, George Chuvalo, Frank D'Angelo, Robert Davi, Ellen Dubin, Phil Esposito, Brooke Gamble, Sholom Gelt, Lina Giornofelice, Daryl Hannah, Robin Sue Hertz Hemple",6.3,6376,NA,NA,NA,NA,66,3
tt4693588,"
44
","
750
",6.2,6.7,Qualcosa di meraviglioso,2019,"Biography, Comedy, Drama",107,France,"French, Bengali",Pierre-François Martin-Laval,"Thibault Vanhulle, Philippe Elno",Waiting For Cinema,"Assad Ahmed, Gérard Depardieu, Mizanur Rahaman, Isabelle Nanty, Sarah Touffic Othman-Schmitt, Victor Herroux, Tiago Toubi, Alexandre Naud, Pierre Gommé, Axel Keravec, Didier Flamand, Pierre-François Martin-Laval, Sabrina Uddin, Mougdo Mishti Das, Tapati Munsi",6.8,753,NA,NA,$ 2096652,NA,4,26
tt4693860,"
158
","
387
",5,4.5,Rodeo & Juliet,2015,"Family, Romance",88,USA,English,Thadd Turner,"Stephen Beck, Harry Cason",Talmarc Film Productions,"Krista Allen, Tim Abell, Nadine Crocker, Zeb Halsell, Ariel Lucius, Buck Taylor, Chris Ranney, Thadd Turner, Lauren Alexandra, Mary Alice Risener, Victoria Bergeron, Gavin Blakley, Eileen Daley, Aamina Spencer, Jazmine Reynolds",4.7,928,$ 2500000,NA,NA,NA,18,3
tt4694366,"
124
","
310
",5.1,5.2,Mail Order Monster,2018,"Drama, Family, Sci-Fi",89,USA,English,Paulina Lagudi Ulrich,"Marc Prey, Paulina Lagudi Ulrich",Jax Productions,"Charisma Carpenter, Josh Hopkins, Emma Rayne Lyle, Madison Horcher, Lea Hutton Beasmore, Bill Billions, Karen B. Greer, Paulina Lagudi Ulrich, Allen Hogan, Jeremy Aubrey, Ronnie L. Cleary, James Moore, Elizabeth Warder, Emma Phipps, Ma'Laya Sanders",4.6,333,NA,NA,NA,NA,15,10
tt4694404,"
14
","
431
",5.6,5,Vai que Cola: O Filme,2015,Comedy,105,Brazil,Portuguese,César Rodrigues,"Leandro Soares, Leandro Soares",Conspiração Filmes,"Bruna Felix, Christian Monassa, Danni Suzuki, David Brazil, Jesus Luz, Luana Piovani, Pedro Scooby, Paulo Gustavo, Marcus Majella, Samantha Schmütz, Catarina Abdalla, Fernando Caruso, Cacau Protásio, Emiliano D'Ávila, Fiorella Mattheis",5.1,857,BRL 7500000,NA,$ 10845468,NA,NA,1
tt4694546,"
41
","
37
",2.9,2.3,The Tempter,2018,Horror,97,USA,English,Benjamin Thomas,Benjamin Thomas,Ozark Films,"Eric Wolfgang Nelson, Don Brandon, Thom Murray, Camille Marolf, James M Tweedie, Nicole Bach, Mark Berg, Shawn I. Chevalier, Lee J. Cox, Laura Lynne Dyer, Shug Goodlow, Mariana Hagedorn, Julie M. Hale, Eva Junyor, Jeff Leathers",2.9,108,$ 10000,NA,NA,NA,9,2
tt4695434,"
9
","
177
",6.6,5.9,Kümes,2015,Drama,87,Turkey,Turkish,Ufuk Bayraktar,"Ufuk Bayraktar, Ufuk Bayraktar",Hic Film Yapim,"Ufuk Bayraktar, Pinar Boyer, Mehmet Dere, Selen Domaç, Hasibe Eren, Ecrin Erva Gülcemal, Turgay Karakaya, Emirhan Kartop, Ali Meriç, Sertel Ugur, Gülizar Yapici, Musa Yilmaz, Ali Adnan Özgür, Bülent Ünsür",6,287,NA,NA,$ 3541,NA,NA,NA
