id,us_votes,non_us_votes,us_rating,non_us_rating
tt0112819/,"
7,533
","
6,855
",6.9,6.8
tt0112829/,"
42
","
92
",4.7,4.1
tt0112830/,"
111
","
206
",4.3,4.7
tt0112839/,"
74
","
204
",5.0,4.5
tt0112843/,"
349
","
425
",4.5,4.4
tt0112844/,"
357
","
530
",6.5,6.7
tt0112851/,"
29,445
","
89,973
",7.2,7.1
tt0112853/,"
57
","
55
",3.5,3.7
tt0112854/,"
676
","
948
",4.2,4.7
tt0112857/,"
5,793
","
7,696
",7.0,6.5
tt0112862/,"
27
","
117
",6.7,6.8
tt0112864/,"
63,353
","
178,226
",7.6,7.5
tt0112867/,"
153
","
358
",4.7,5.0
tt0112870/,"
4,537
","
27,617
",7.8,8.0
tt0112873/,"
511
","
1,457
",1.9,1.7
tt0112874/,"
24
","
169
",6.3,5.8
tt0112882/,"
83
","
111
",5.1,4.7
tt0112886/,"
79
","
131
",5.1,4.7
tt0112887/,"
5,034
","
6,137
",5.8,6.2
tt0112895/,"
983
","
1,052
",4.3,4.6
tt0112896/,"
8,258
","
19,859
",5.8,5.8
tt0112906/,"
277
","
355
",4.1,4.0
tt0112907/,"
420
","
321
",6.3,6.4
tt0112909/,"
20
","
114
",5.0,4.9
tt0112913/,"
5,203
","
15,793
",7.7,7.6
tt0112914/,"
17
","
150
",5.6,6.6
tt0112916/,"
28
","
108
",4.8,4.9
tt0112922/,"
2,172
","
12,329
",7.3,7.4
tt0112924/,"
43
","
57
",6.1,5.7
tt0112933/,"
29
","
232
",5.3,5.5
tt0112934/,"
42
","
611
",6.5,6.8
tt0112939/,"
181
","
355
",6.1,5.8
tt0112941/,"
20
","
182
",6.8,6.9
tt0112945/,"
129
","
1,273
",7.0,6.6
tt0112950/,"
18,195
","
17,086
",6.8,6.5
tt0112951/,"
17
","
176
",6.6,6.6
tt0112955/,"
19
","
621
",4.2,5.2
tt0112961/,"
28
","
103
",7.9,6.9
tt0112964/,"
35
","
79
",7.0,6.9
tt0112966/,"
3,485
","
8,213
",6.7,6.6
tt0112980/,"
11
","
171
",7.2,7.0
tt0112993/,"
349
","
480
",5.3,5.5
tt0112995/,"
103
","
201
",4.3,3.9
tt0112998/,"
70
","
293
",3.6,4.3
tt0113007/,"
16
","
79
",5.7,5.5
tt0113010/,"
2,709
","
6,320
",4.0,4.3
tt0113014/,"
701
","
648
",5.3,5.6
tt0113027/,"
11
","
153
",6.9,7.2
tt0113028/,"
1,041
","
893
",6.3,6.3
tt0113029/,"
2
","
119
",7.0,5.3
tt0113030/,"
13
","
203
",6.9,5.5
tt0113041/,"
10,093
","
14,006
",6.1,5.9
tt0113043/,"
424
","
507
",3.9,3.6
tt0113044/,"
151
","
235
",6.2,6.1
tt0113049/,"
126
","
875
",4.7,5.2
tt0113054/,"
23
","
190
",6.5,7.0
tt0113057/,"
357
","
916
",7.1,6.9
tt0113059/,"
57
","
872
",5.5,5.4
tt0113061/,"
64
","
49
",6.9,5.8
tt0113063/,"
197
","
660
",5.8,5.5
tt0113066/,"
76
","
54
",3.9,3.8
tt0113071/,"
13,486
","
33,974
",6.0,5.9
tt0113074/,"
780
","
1,531
",4.0,3.9
tt0113075/,"
64
","
134
",4.6,4.7
tt0113080/,"
483
","
912
",6.2,6.3
tt0113081/,"
94
","
2,257
",5.2,5.4
tt0113083/,"
1,496
","
6,288
",7.1,7.0
tt0113089/,"
1,456
","
3,225
",6.3,6.7
tt0113093/,"
75
","
103
",5.3,3.9
tt0113097/,"
4,071
","
4,239
",6.3,6.5
tt0113099/,"
71
","
20
",6.9,3.9
tt0113101/,"
17,447
","
51,116
",6.5,6.8
tt0113105/,"
97
","
52
",3.6,4.0
tt0113107/,"
293
","
287
",6.9,6.4
tt0113111/,"
55
","
33
",3.8,4.1
tt0113114/,"
3,535
","
8,360
",4.9,5.0
tt0113115/,"
13
","
301
",6.7,6.9
tt0113116/,"
41
","
83
",5.1,4.8
tt0113117/,"
10,026
","
22,647
",6.6,6.5
tt0113118/,"
31,381
","
34,987
",7.5,7.0
tt0113119/,"
173
","
358
",4.8,4.5
tt0113121/,"
131
","
70
",7.0,5.7
tt0113122/,"
264
","
207
",5.0,4.9
tt0113133/,"
931
","
1,569
",6.8,6.8
tt0113140/,"
335
","
443
",3.5,3.4
tt0113142/,"
1,092
","
1,066
",7.1,6.5
tt0113145/,"
55
","
339
",7.0,6.7
tt0113149/,"
671
","
2,718
",6.4,6.4
tt0113151/,"
74
","
367
",6.5,6.8
tt0113153/,"
1,199
","
2,346
",6.6,6.5
tt0113158/,"
1,114
","
1,040
",6.4,6.7
tt0113161/,"
21,684
","
34,637
",7.1,6.8
tt0113168/,"
39
","
106
",7.5,6.0
tt0113172/,"
13
","
178
",4.3,4.8
tt0113173/,"
54
","
113
",5.1,5.7
tt0113175/,"
126
","
69
",5.0,3.8
tt0113186/,"
17
","
126
",5.7,7.2
tt0113187/,"
2,048
","
1,752
",7.1,6.6
tt0113188/,"
1,486
","
1,539
",6.1,5.8
tt0113189/,"
48,104
","
115,561
",7.4,7.1
tt0113194/,"
320
","
1,380
",6.8,6.8
tt0113198/,"
15,209
","
16,699
",7.0,6.6
tt0113200/,"
46
","
228
",6.1,3.8
tt0113205/,"
8
","
94
",7.2,6.5
tt0113211/,"
1,744
","
800
",7.3,6.2
tt0113221/,"
472
","
364
",2.2,2.4
tt0113224/,"
123
","
325
",5.3,5.6
tt0113228/,"
9,022
","
8,754
",6.7,6.6
tt0113230/,"
49
","
68
",5.7,5.7
tt0113233/,"
93
","
93
",6.8,6.2
tt0113234/,"
437
","
166
",6.2,6.0
tt0113238/,"
207
","
244
",6.9,6.3
tt0113241/,"
745
","
354
",6.5,6.1
tt0113243/,"
16,147
","
30,512
",6.3,6.1
tt0113247/,"
14,356
","
85,379
",8.0,8.0
tt0113249/,"
263
","
388
",4.6,4.6
tt0113253/,"
10,758
","
11,306
",4.9,4.7
tt0113256/,"
249
","
544
",7.1,7.1
tt0113259/,"
209
","
135
",3.9,3.8
tt0113260/,"
52
","
67
",4.6,4.7
tt0113269/,"
1,550
","
3,185
",6.4,6.1
tt0113273/,"
95
","
316
",8.2,7.0
tt0113276/,"
51
","
103
",5.4,4.9
tt0113277/,"
97,143
","
274,728
",8.3,8.2
tt0113278/,"
651
","
484
",4.0,4.0
tt0113280/,"
1,422
","
1,840
",6.9,6.7
tt0113281/,"
176
","
413
",6.5,6.1
tt0113292/,"
186
","
652
",6.4,6.2
tt0113303/,"
1,901
","
2,832
",5.4,5.3
tt0113305/,"
7,226
","
5,896
",6.5,6.5
tt0113312/,"
50
","
442
",6.9,6.4
tt0113319/,"
83
","
61
",5.9,5.6
tt0113321/,"
5,133
","
3,568
",6.7,6.3
tt0113326/,"
9,216
","
18,476
",6.8,6.7
tt0113328/,NA,"
83
",-,7.1
tt0113337/,"
59
","
157
",6.7,6.2
tt0113347/,"
3,014
","
4,585
",6.3,6.2
tt0113350/,"
63
","
213
",6.1,6.0
tt0113351/,"
29
","
164
",6.8,6.9
tt0113356/,"
291
","
1,159
",6.7,6.9
tt0113359/,"
21
","
521
",6.2,5.5
tt0113360/,"
1,183
","
2,503
",6.2,5.8
tt0113361/,"
138
","
155
",4.7,4.4
tt0113362/,"
1,047
","
3,094
",7.2,7.0
tt0113364/,"
8
","
128
",6.5,5.9
tt0113368/,"
229
","
389
",5.0,4.9
tt0113369/,"
42
","
33
",3.2,4.2
tt0113375/,"
184
","
4,402
",7.2,7.3
tt0113376/,"
1,438
","
957
",4.7,4.7
tt0113394/,"
425
","
573
",5.6,5.4
tt0113403/,"
543
","
1,152
",7.4,7.1
tt0113406/,"
93
","
110
",4.9,4.4
tt0113409/,"
13,388
","
31,483
",7.1,7.1
tt0113416/,"
1,395
","
1,588
",6.7,6.3
tt0113418/,"
77
","
108
",3.7,4.1
tt0113419/,"
9,917
","
8,749
",6.0,5.9
tt0113420/,"
20
","
155
",7.5,7.0
tt0113425/,"
74
","
170
",5.5,5.3
tt0113429/,"
357
","
953
",7.2,7.1
tt0113436/,"
13
","
305
",4.9,4.5
tt0113438/,"
420
","
521
",3.5,3.1
tt0113440/,"
14
","
167
",5.0,6.4
tt0113442/,"
5,175
","
9,059
",5.8,5.7
tt0113444/,"
4
","
88
",7.5,5.9
tt0113448/,"
699
","
2,951
",6.6,6.6
tt0113449/,"
643
","
397
",3.3,3.1
tt0113451/,"
3,194
","
5,522
",5.1,5.3
tt0113455/,"
7
","
105
",4.7,5.3
tt0113459/,"
7
","
73
",4.5,5.4
tt0113463/,"
1,000
","
1,173
",5.7,5.8
tt0113464/,"
2,245
","
1,715
",6.9,6.5
tt0113466/,"
18
","
56
",7.0,6.3
tt0113475/,"
118
","
689
",7.0,6.8
