id,us_votes,non_us_votes,us_rating,non_us_rating
tt2293640/,"
21,568
","
89,948
",6.2,6.4
tt2296747/,"
132
","
550
",7.0,6.7
tt2296777/,"
1,727
","
3,867
",5.2,5.2
tt2302966/,"
718
","
5,616
",6.8,7.0
tt2308583/,"
86
","
73
",2.8,2.1
tt2308682/,"
126
","
152
",5.3,4.8
tt2309260/,"
4,089
","
7,304
",4.2,4.2
tt2311428/,"
50
","
77
",3.2,3.3
tt2313112/,"
30
","
55
",5.0,4.7
tt2315596/,"
1,948
","
6,356
",6.3,6.2
tt2316479/,"
411
","
1,346
",5.8,5.5
tt2319456/,"
98
","
390
",4.4,3.9
tt2321502/,"
1,088
","
2,527
",6.3,6.1
tt2322415/,"
78
","
116
",3.3,2.6
tt2322441/,"
26,988
","
110,484
",4.1,4.0
tt2322517/,"
1,260
","
1,870
",5.5,5.0
tt2325977/,"
1,250
","
4,774
",5.1,5.2
tt2328900/,"
6,076
","
19,088
",6.2,6.2
tt2330666/,"
86
","
141
",3.9,3.9
tt2338424/,"
1,261
","
3,221
",6.3,6.1
tt2340888/,"
36
","
65
",3.8,4.5
tt2346406/,"
47
","
144
",4.1,3.5
tt2349142/,"
96
","
184
",2.2,1.9
tt2349144/,"
4,462
","
9,868
",6.6,6.3
tt2352722/,"
140
","
41
",4.5,4.8
tt2358806/,"
20
","
38
",5.0,4.0
tt2358925/,"
5,241
","
15,029
",5.3,5.4
tt2361509/,"
21,413
","
102,018
",7.1,7.0
tt2361746/,"
249
","
1,571
",6.3,6.3
tt2364774/,"
364
","
336
",4.7,4.0
tt2367680/,"
45
","
15
",6.4,3.6
tt2368254/,"
2,243
","
8,567
",6.7,6.7
tt2368412/,"
43
","
58
",5.1,5.1
tt2369411/,"
52
","
35
",3.9,3.4
tt2372251/,"
1,588
","
6,704
",5.3,5.0
tt2375844/,"
80
","
145
",3.1,2.5
tt2377752/,"
153
","
189
",5.3,5.2
tt2378776/,"
277
","
243
",6.6,6.6
tt2378830/,"
114
","
2,498
",6.8,6.8
tt2379713/,"
42,840
","
176,049
",6.8,6.7
tt2381111/,"
18,058
","
58,956
",7.7,7.4
tt2381249/,"
40,576
","
149,404
",7.6,7.3
tt2381941/,"
19,582
","
100,830
",6.5,6.5
tt2385189/,"
619
","
426
",6.6,4.0
tt2386237/,"
2,194
","
4,919
",5.0,4.7
tt2386404/,"
3,028
","
9,232
",6.6,6.3
tt2388050/,"
87
","
120
",5.3,5.1
tt2388771/,"
5,020
","
25,437
",6.5,6.4
tt2392383/,"
88
","
101
",5.3,5.2
tt2392451/,"
12
","
145
",6.4,4.9
tt2392748/,"
1,119
","
2,470
",4.7,4.4
tt2393296/,"
10
","
57
",5.0,6.5
tt2393827/,"
1,852
","
5,954
",5.8,5.3
tt2394063/,"
812
","
1,419
",6.6,6.7
tt2395427/,"
87,817
","
268,251
",7.4,7.2
tt2396671/,"
148
","
313
",4.1,3.7
tt2400463/,"
14,216
","
43,259
",6.8,6.5
tt2401097/,"
2,079
","
8,521
",5.5,5.5
tt2401825/,"
119
","
417
",6.3,6.3
tt2401878/,"
9,426
","
32,764
",7.3,7.2
tt2402101/,"
6,134
","
21,278
",6.1,6.2
tt2402127/,"
95
","
90
",3.4,2.9
tt2402927/,"
14,211
","
54,660
",7.4,7.2
tt2404425/,"
7,566
","
25,509
",7.4,7.2
tt2404639/,"
680
","
2,409
",6.0,6.3
tt2404940/,"
73
","
12
",5.5,6.1
tt2406464/,"
404
","
243
",7.9,5.4
tt2420166/,"
482
","
788
",5.8,5.4
tt2420876/,"
27
","
317
",6.8,6.8
tt2424988/,"
863
","
6,695
",6.6,6.8
tt2431074/,"
56
","
72
",2.7,2.2
tt2433040/,"
591
","
1,309
",5.7,4.9
tt2435970/,"
85
","
47
",3.2,3.1
tt2436386/,"
8,946
","
36,222
",6.3,6.3
tt2443822/,"
949
","
2,464
",5.7,5.5
tt2445178/,"
174
","
516
",5.5,5.1
tt2445568/,"
1,021
","
1,613
",4.9,5.1
tt2446980/,"
15,741
","
57,298
",6.6,6.6
tt2452042/,"
8,162
","
17,240
",7.2,6.9
tt2458010/,"
36
","
39
",3.2,3.2
tt2458952/,"
43
","
29
",4.4,3.2
tt2461520/,"
1,684
","
4,110
",5.9,5.9
tt2462580/,"
77
","
48
",4.4,4.3
tt2463524/,"
105
","
121
",3.8,3.0
tt2463842/,"
49
","
219
",5.5,5.5
tt2465308/,"
372
","
112
",7.1,5.1
tt2473510/,"
3,837
","
10,914
",4.6,4.6
tt2474958/,"
772
","
5,148
",5.8,6.1
tt2474976/,"
2,815
","
7,604
",5.9,5.6
tt2477218/,"
568
","
494
",6.1,5.3
tt2479478/,"
7,451
","
17,826
",4.7,4.8
tt2482856/,"
45
","
58
",3.4,2.7
tt2484224/,"
169
","
348
",4.6,4.0
tt2486856/,"
136
","
854
",7.0,6.8
tt2486862/,"
78
","
54
",5.9,5.3
tt2488220/,"
47
","
201
",3.7,3.5
tt2488496/,"
108,368
","
306,025
",8.0,7.7
tt2490148/,"
68
","
103
",3.4,3.2
tt2493486/,"
3,956
","
20,381
",6.2,6.1
tt2494362/,"
14,425
","
42,251
",7.3,7.0
tt2501366/,"
90
","
102
",3.7,4.4
tt2503768/,"
70
","
153
",3.2,3.1
tt2503944/,"
10,091
","
51,636
",6.5,6.5
tt2507238/,"
399
","
546
",5.5,5.0
tt2510894/,"
11,371
","
45,664
",6.6,6.6
tt2515034/,"
5,015
","
20,672
",5.7,5.8
tt2520306/,"
74
","
31
",5.3,5.6
tt2523756/,"
89
","
298
",4.8,4.6
tt2523832/,"
1,203
","
2,519
",7.0,6.8
tt2525156/,"
79
","
241
",3.7,3.2
tt2530316/,"
45
","
51
",4.2,4.6
tt2531344/,"
13,735
","
25,613
",6.4,6.0
tt2534634/,"
301
","
2,842
",7.0,7.1
tt2534642/,"
17
","
106
",5.5,5.7
tt2537390/,"
838
","
932
",6.0,5.5
tt2538204/,"
125
","
183
",5.5,4.7
tt2538778/,"
105
","
217
",2.9,2.9
tt2544074/,"
2,286
","
1,598
",6.6,4.3
tt2544766/,"
599
","
5,182
",7.2,6.9
tt2545692/,"
65
","
123
",3.8,4.2
tt2547172/,"
213
","
711
",4.5,4.5
tt2548396/,"
13,784
","
42,557
",5.6,5.5
tt2550858/,"
33
","
277
",6.3,5.3
tt2552394/,"
407
","
3,324
",6.1,6.3
tt2553928/,"
49
","
46
",6.3,6.2
tt2554274/,"
19,367
","
61,522
",6.6,6.5
tt2555652/,"
196
","
165
",5.2,5.3
tt2555736/,"
4,359
","
15,925
",6.6,6.5
tt2556936/,"
343
","
723
",6.0,6.4
tt2557478/,"
12,629
","
46,659
",5.6,5.5
tt2558022/,"
74
","
223
",3.8,4.0
tt2561572/,"
17,244
","
53,892
",5.9,6.0
tt2566644/,"
292
","
596
",7.2,6.8
tt2567220/,"
56
","
113
",2.6,2.6
tt2567688/,"
383
","
157
",8.1,5.0
tt2570500/,"
55
","
34
",7.3,6.6
tt2575290/,"
46
","
55
",5.8,6.0
tt2577668/,"
61
","
73
",5.5,5.6
tt2577854/,"
77
","
447
",5.4,4.7
tt2580382/,"
1,976
","
7,908
",6.5,6.5
tt2580658/,"
23
","
138
",5.4,5.5
tt2582496/,"
14,858
","
56,930
",7.8,7.6
tt2582502/,"
1,967
","
11,487
",6.9,7.0
tt2585160/,"
15
","
532
",5.6,7.1
tt2586118/,"
236
","
3,053
",6.6,6.7
tt2591692/,"
82
","
58
",4.4,4.2
tt2598580/,"
247
","
655
",2.6,3.7
tt2601260/,"
112
","
96
",5.2,4.9
tt2602338/,"
22
","
54
",4.7,4.0
tt2603600/,"
116
","
34
",2.4,1.2
tt2604642/,"
47
","
15
",8.9,4.7
tt2606314/,"
232
","
115
",5.5,4.3
tt2608030/,"
220
","
700
",5.6,5.1
tt2609998/,"
137
","
160
",3.8,3.3
tt2614722/,"
153
","
727
",6.9,6.6
tt2618920/,"
13
","
64
",3.5,3.8
tt2619512/,"
1,098
","
1,647
",6.2,5.8
tt2621784/,"
45
","
47
",3.9,3.1
tt2622294/,"
84
","
71
",3.2,4.3
tt2622672/,"
119
","
210
",3.0,2.4
tt2625810/,"
3,654
","
9,032
",5.8,5.8
tt2625968/,"
10
","
84
",6.1,6.0
tt2630992/,"
812
","
669
",5.7,3.4
tt2631186/,"
4,901
","
27,715
",7.6,7.7
tt2633666/,"
182
","
168
",5.0,4.5
tt2637276/,"
20,460
","
80,375
",6.3,6.2
tt2637294/,"
7,089
","
16,797
",5.1,5.0
tt2638048/,"
97
","
122
",3.5,3.3
tt2638662/,"
448
","
1,855
",5.4,5.0
tt2639336/,"
4,255
","
12,606
",6.0,6.0
tt2639514/,"
86
","
166
",3.3,2.9
tt2651352/,"
129
","
28
",3.2,3.6
tt2651724/,"
37
","
78
",2.9,2.4
tt2654522/,"
143
","
147
",5.7,5.4
tt2654536/,"
215
","
57
",8.5,5.9
tt2654572/,"
624
","
1,609
",6.1,6.1
tt2659240/,"
73
","
33
",4.8,5.8
tt2662218/,"
101
","
284
",5.1,5.1
tt2662716/,"
12
","
338
",6.1,6.4
tt2662764/,"
120
","
78
",2.6,2.2
tt2664880/,"
910
","
1,716
",6.5,5.0
tt2670882/,"
269
","
582
",6.4,6.3
tt2677064/,"
187
","
718
",5.7,5.7
tt2677722/,"
1,158
","
4,249
",6.6,6.4
tt2679042/,"
7,667
","
41,575
",5.7,5.6
tt2689958/,"
447
","
560
",4.6,4.2
tt2690138/,"
2,173
","
5,005
",5.3,5.0
tt2690226/,"
460
","
425
",6.8,6.3
tt2690560/,"
72
","
56
",6.2,5.8
tt2690634/,"
691
","
368
",7.3,5.3
tt2698966/,"
153
","
298
",6.2,6.0
tt2699466/,"
27
","
51
",6.0,6.2
tt2700194/,"
28
","
222
",3.5,2.9
tt2704998/,"
28,909
","
87,491
",7.1,6.8
tt2705542/,"
14
","
116
",3.1,3.0
tt2708644/,"
47
","
298
",4.1,3.2
tt2709692/,"
9,286
","
18,492
",6.3,6.3
tt2710826/,"
310
","
943
",4.1,4.0
tt2711256/,"
16
","
100
",5.6,5.3
tt2711898/,"
310
","
1,493
",5.6,5.6
tt2717822/,"
7,574
","
27,700
",5.4,5.4
tt2718440/,"
1,150
","
4,588
",6.1,6.1
tt2719660/,"
16
","
176
",6.1,6.6
tt2719848/,"
17,911
","
97,515
",7.0,7.0
tt2720726/,"
65
","
212
",3.4,3.9
tt2720764/,"
6
","
134
",4.7,5.6
tt2720892/,"
11
","
91
",4.3,6.4
tt2724532/,"
639
","
1,998
",6.0,5.7
tt2726560/,"
7,737
","
30,645
",6.9,6.9
tt2734110/,"
63
","
48
",3.6,2.8
tt2734566/,"
158
","
1,810
",6.6,6.7
tt2734974/,"
48
","
44
",5.2,4.3
tt2735292/,"
177
","
385
",3.5,3.2
tt2735996/,"
86
","
893
",5.7,6.2
